canonical,cell_name,count,logic_expr,n_inputs,tt_weight,anf_degree,is_affine,is_symmetric,is_monotone,is_anti_monotone,output_inv_count,input_inv_count,fet_count,n_nmos,n_pmos,nfin_n_total,nfin_p_total,nfin_ratio,max_stack_n,max_stack_p,n_internal_nets,total_transistors,cpp_min,cell_fraction,cpp_min_ds
0b0001,AND2_X1,0,,2,0.250000,2,0,1,1,0,1,0,6,3,3,6,6,1.000000,1,1,2,6,3,0.000000,3
0b0001,AND2_X2,0,,2,0.250000,2,0,1,1,0,1,0,6,3,3,6,6,1.000000,1,1,2,6,3,0.000000,3
0b0100,2input0x1_X1,0,[UNCLASSIFIED_FALLBACK] ,2,0.250000,2,0,0,0,0,1,1,6,3,3,6,6,1.000000,1,2,2,6,3,0.000000,3
0b0110,XOR2_X1,0,,2,0.500000,1,1,1,0,0,0,0,10,5,5,10,10,1.000000,2,2,4,10,5,0.000000,5
0b0111,OR2_X1,0,,2,0.750000,2,0,1,1,0,1,0,6,3,3,6,6,1.000000,1,1,2,6,3,0.000000,3
0b0111,OR2_X2,0,,2,0.750000,2,0,1,1,0,1,0,6,3,3,6,6,1.000000,1,1,2,6,3,0.000000,3
0b1000,NOR2_X1,0,,2,0.250000,2,0,1,0,1,0,2,4,2,2,4,4,1.000000,1,2,1,4,2,0.000000,2
0b1000,NOR2_X2,0,,2,0.250000,2,0,1,0,1,0,2,4,2,2,4,4,1.000000,1,2,1,4,2,0.000000,2
0b1001,XNOR2_X1,0,,2,0.500000,1,1,1,0,0,0,0,10,5,5,10,10,1.000000,2,2,4,10,5,0.000000,5
0b1101,2input0x6_X1,0,[UNCLASSIFIED_FALLBACK] ,2,0.750000,2,0,0,0,0,0,1,6,3,3,6,6,1.000000,2,1,2,6,3,0.000000,3
0b1110,NAND2_X1,0,,2,0.750000,2,0,1,0,1,0,2,4,2,2,4,4,1.000000,2,1,1,4,2,0.000000,2
0b1110,NAND2_X2,0,,2,0.750000,2,0,1,0,1,0,2,4,2,2,4,4,1.000000,2,1,1,4,2,0.000000,2
0b00000001,AND3_X1,0,,3,0.125000,3,0,1,1,0,1,0,8,4,4,8,8,1.000000,1,1,3,8,4,0.000000,4
0b00000001,AND3_X2,0,,3,0.125000,3,0,1,1,0,1,0,8,4,4,8,8,1.000000,1,1,3,8,4,0.000000,4
0b00010000,3input0x1_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.125000,3,0,0,0,0,1,1,8,4,4,8,8,1.000000,1,2,3,8,4,0.000000,4
0b00010100,3input0x2_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.250000,2,0,0,0,0,1,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b00010100,3input0x2_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.250000,2,0,0,0,0,1,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b00010101,3input0x3_X1,0,,3,0.375000,3,0,0,1,0,1,0,8,4,4,8,8,1.000000,1,1,3,8,4,0.000000,4
0b00010110,3input0x8_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,1,0,0,1,0,18,9,9,18,18,1.000000,3,2,8,18,9,0.000000,9
0b00010110,3input0x8_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,1,0,0,1,0,18,9,9,18,18,1.000000,3,2,8,18,9,0.000000,9
0b00010111,3input0x9_X1,0,,3,0.500000,2,0,1,1,0,1,0,12,6,6,12,12,1.000000,1,1,5,12,6,0.000000,6
0b00010111,3input0x9_X1_DH_N,0,,3,0.500000,2,0,1,1,0,1,0,12,6,6,12,12,1.000000,1,1,5,12,6,0.000000,6
0b00011000,3input0xA_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.250000,2,0,0,0,0,1,0,16,8,8,16,16,1.000000,2,2,7,16,8,0.000000,8
0b00011000,3input0xA_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.250000,2,0,0,0,0,1,0,16,8,8,16,16,1.000000,2,2,7,16,8,0.000000,8
0b00011001,3input0xB_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000,7
0b00011001,3input0xB_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000,7
0b00011010,3input0xC_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,1,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b00011010,3input0xC_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,1,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b00011011,3input0xD_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b00011011,MUX2_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b00011110,3input0xE_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000,7
0b00011110,3input0xE_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000,7
0b00011111,3input0xF_X1,0,,3,0.625000,3,0,0,1,0,1,0,8,4,4,8,8,1.000000,1,1,3,8,4,0.000000,4
0b00101000,3input0x10_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.250000,2,0,0,0,0,1,1,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000,7
0b00101000,3input0x10_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.250000,2,0,0,0,0,1,1,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000,7
0b00101001,3input0x11_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,1,0,18,9,9,18,18,1.000000,2,2,8,18,10,0.000000,10
0b00101010,3input0x12_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,1,1,8,4,4,8,8,1.000000,1,2,3,8,4,0.000000,4
0b00101011,3input0x13_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,1,1,14,7,7,14,14,1.000000,2,2,6,14,8,0.000000,8
0b00101011,3input0x13_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,1,1,14,7,7,14,14,1.000000,2,2,6,14,8,0.000000,8
0b00101100,3input0x14_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,0,1,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000,7
0b00101101,3input0x15_X1_DH_P,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,0,20,10,10,20,20,1.000000,2,2,9,20,11,0.000000,11
0b00101110,3input0x16_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,1,1,10,5,5,10,10,1.000000,2,2,4,10,5,0.000000,5
