name,cell_class,canonical_key
3input0x97_X1,logic,0b10010111
3input0x97_X1_DH_N,logic,0b10010111
3input0x98_X1,logic,0b10011000
3input0x98_X1_DH_N,logic,0b10011000
3input0x98_X2,logic,0b10011000
3input0x9A_X1,logic,0b10011010
3input0x9A_X1_DH_N,logic,0b10011010
3input0x9B_X1,logic,0b10011011
3input0x9B_X1_DH_N,logic,0b10011011
3input0x9E_X1,logic,0b10011110
3input0x9E_X1_DH_P,logic,0b10011110
3input0x9F_X1,logic,0b10011111
3input0x9F_X1_DH_N,logic,0b10011111
3input0x9_X1,logic,0b00010111
3input0x9_X1_DH_N,logic,0b00010111
3input0xA9_X1_DH_P,logic,0b10101001
3input0xAB_X1,logic,0b10101011
3input0xAC_X1,logic,0b10101100
3input0xAC_X1_DH_P,logic,0b10101100
3input0xAD_X1,logic,0b10101101
3input0xAE_X1,logic,0b10101110
3input0xA_X1,logic,0b00011000
3input0xA_X1_DH_N,logic,0b00011000
3input0xBC_X1,logic,0b10111100
3input0xBC_X1_DH_P,logic,0b10111100
3input0xBD_X1,logic,0b10111101
3input0xBD_X1_DH_N,logic,0b10111101
3input0xBE_X1,logic,0b10111110
3input0xBF_X1,logic,0b10111111
3input0xBF_X2,logic,0b10111111
3input0xB_X1,logic,0b00011001
3input0xB_X1_DH_N,logic,0b00011001
3input0xC_X1,logic,0b00011010
3input0xC_X1_DH_N,logic,0b00011010
3input0xD_X1,logic,0b00011011
3input0xE8_X1,logic,0b11101000
3input0xE8_X1_DH_P,logic,0b11101000
3input0xE8_X2,logic,0b11101000
3input0xE9_X1,logic,0b11101001
3input0xE9_X1_DH_P,logic,0b11101001
3input0xEB_X1,logic,0b11101011
3input0xEB_X1_DH_P,logic,0b11101011
3input0xEF_X1,logic,0b11101111
3input0xEF_X2,logic,0b11101111
3input0xE_X1,logic,0b00011110
3input0xE_X1_DH_N,logic,0b00011110
3input0xE_X2,logic,0b00011110
3input0xF_X1,logic,0b00011111
3input0xF_X2,logic,0b00011111
4input0x000288_X1,logic,0b1000000010001000
4input0x0002_X1,logic,0b0000000000000010
4input0x0002_X2,logic,0b0000000000000010
4input0x000EA_X1,logic,0b1000100010001010
4input0x0080_X1,logic,0b0000000010000000
4input0x0080_X2,logic,0b0000000010000000
4input0x00A888_X1,logic,0b1111100000000000
4input0x00A888_X2,logic,0b1111100000000000
4input0x00A88A_X1,logic,0b1010100010001010
4input0x00A8AA_X1,logic,0b1010100010101010
4input0x00A8AA_X2,logic,0b1010100010101010
4input0x00A8C8_X1,logic,0b1111010010000000
4input0x00A8CC_X1,logic,0b1111010110000000
4input0x00A8_X1,logic,0b0000000010101000
4input0x00A8_X2,logic,0b0000000010101000
4input0x01FF_X1,logic,0b0101010101010111
4input0x01FF_X2,logic,0b0101010101010111
4input0x0280_X1,logic,0b0001100000000000
4input0x0280_X2,logic,0b0001100000000000
4input0x0357_X1,logic,0b0000001101010111
4input0x0777_X1,logic,0b0000011101110111
4input0x0777_X2,logic,0b0000011101110111
4input0x078F_X1,logic,0b0000011110001111
4input0x0880_X1,logic,0b0110000000000000
4input0x0880_X2,logic,0b0110000000000000
4input0x08F0_X1,logic,0b0101010110000000
4input0x0EE0_X1,logic,0b0110011001100000
4input0x181_X1,logic,0b1000000110000000
4input0x1A9_X1,logic,0b1001010110000000
4input0x1BFF_X1,logic,0b0001101111111111
4input0x1EF0_X1,logic,0b0001111111100000
4input0x1EF0_X2,logic,0b0001111111100000
4input0x1_X1,logic,0b0000000000000001
4input0x1_X2,logic,0b0000000000000001
4input0x2888_X1,logic,0b0111100000000000
4input0x2CCC_X1,logic,0b0111011110000000
4input0x2EE0_X1,logic,0b0110111001100000
4input0x356_X1,logic,0b0110101011000000
4input0x35A_X1,logic,0b0101101011000000
4input0x38B_X1,logic,0b1101000111000000
4input0x3ab_X1,logic,0b0000001110101011
4input0x3ab_X2,logic,0b0000001110101011
4input0x667_X1,logic,0b1110011001100000
4input0x6AAA_X1,logic,0b0111111110000000
4input0x6AAA_X2,logic,0b0111111110000000
4input0x7FFF_X1,logic,0b0111111111111111
4input0x7FFF_X2,logic,0b0111111111111111
4input0x8000_X1,logic,0b1000000000000000
4input0x8000_X2,logic,0b1000000000000000
4input0x8002_X1,logic,0b1000000000000010
4input0x8003_X1,logic,0b1000000000000011
4input0x8008_X1,logic,0b1000000000001000
4input0x800A_X1,logic,0b1000000000001010
4input0x800F_X1,logic,0b1000000000001111
4input0x802A_X1,logic,0b1000000000101010
4input0x803F_X1,logic,0b1000000000111111
4input0x807F_X1,logic,0b1000000001111111
4input0x8082_X1,logic,0b1000000010000010
4input0x8083_X1,logic,0b1000000010000011
4input0x808A_X1,logic,0b1000000010001010
4input0x808F_X1,logic,0b1000000010001111
4input0x80AA_X1,logic,0b1000000010101010
4input0x80AA_X2,logic,0b1000000010101010
4input0x80AC_X1,logic,0b1000000010101100
4input0x80BF_X1,logic,0b1000000010111111
4input0x8280_X1,logic,0b1001100000000000
4input0x828A_X1,logic,0b1000001010001010
4input0x82AA_X1,logic,0b1000001010101010
4input0x82EE_X1,logic,0b1000001011101110
4input0x8380_X1,logic,0b1001000110000000
4input0x8382_X1,logic,0b1000001110000010
4input0x838F_X1,logic,0b1000001110001111
