target_name,target_key,base_name,base_key,status,base_count,inv_count,total,reason,elapsed_s
2input0x6_X1,0b1101,OAI21_X1,0b11101010,OK,1,1,2,,0.06
2input0x6_X1,0b1101,NAND3_X1,0b11111110,OK,2,1,3,,0.16
2input0x6_X1,0b1101,AOI211_X1,0b1000100010000000,OK,1,3,4,,0.26
2input0x6_X1,0b1101,AOI22_X1,0b1110111011100000,OK,1,2,3,,0.22
2input0x6_X1,0b1101,OAI22_X1,0b1111100010001000,OK,1,2,3,,0.17
2input0x6_X1,0b1101,OAI211_X1,0b1111111011101110,OK,1,2,3,,0.26
HA_X1,0b1110,AND3_X1,0b00000001,OK,1,3,4,,0.14
HA_X1,0b1110,OR3_X1,0b01111111,OK,1,3,4,,0.24
HA_X1,0b1110,AOI21_X1,0b10101000,OK,3,1,4,,0.22
HA_X1,0b1110,OAI21_X1,0b11101010,OK,1,1,2,,0.06
HA_X1,0b1110,NAND3_X1,0b11111110,OK,2,1,3,,0.18
HA_X1,0b1110,AOI211_X1,0b1000100010000000,OK,3,2,5,,0.43
HA_X1,0b1110,AOI22_X1,0b1110111011100000,OK,1,2,3,,0.23
HA_X1,0b1110,OAI22_X1,0b1111100010001000,OK,1,2,3,,0.22
HA_X1,0b1110,OAI211_X1,0b1111111011101110,OK,1,2,3,,0.49
AND3_X1,0b00000001,AND2_X1,0b0001,OK,2,0,2,,0.06
AND3_X1,0b00000001,2input0x1_X1,0b0100,OK,4,0,4,,0.21
AND3_X1,0b00000001,OR2_X1,0b0111,OK,2,4,6,,0.77
AND3_X1,0b00000001,XNOR2_X1,0b1001,IMPOSSIBLE_AFFINE,,,,base+INV is closed under affine class L (Post's lattice); target is non-affine,0.00
AND3_X1,0b00000001,2input0x6_X1,0b1101,OK,2,2,4,,0.27
AND3_X1,0b00000001,HA_X1,0b1110,OK,3,1,4,,0.27
AND3_X1,0b00000001,3input0x1_X1,0b00010000,OK,2,0,2,,0.07
AND3_X1,0b00000001,3input0x2_X1,0b00010100,OK,2,0,2,,0.09
AND3_X1,0b00000001,3input0x3_X1,0b00010101,OK,2,1,3,,0.21
AND3_X1,0b00000001,3input0x8_X1,0b00010110,OK,3,0,3,,0.32
AND3_X1,0b00000001,3input0x9_X1,0b00010111,TIMEOUT,,,,,63.53
AND3_X1,0b00000001,3input0xA_X1,0b00011000,OK,3,0,3,,0.17
AND3_X1,0b00000001,3input0xB_X1,0b00011001,OK,3,0,3,,0.41
AND3_X1,0b00000001,3input0xC_X1,0b00011010,OK,3,0,3,,0.35
AND3_X1,0b00000001,3input0xD_X1,0b00011011,OK,2,1,3,,0.22
AND3_X1,0b00000001,3input0xE_X1,0b00011110,OK,3,0,3,,0.25
AND3_X1,0b00000001,3input0xF_X1,0b00011111,OK,3,2,5,,0.72
AND3_X1,0b00000001,3input0x10_X1,0b00101000,OK,2,1,3,,0.38
AND3_X1,0b00000001,3input0x11_X1_DH_N,0b00101001,OK,3,0,3,,0.29
AND3_X1,0b00000001,3input0x12_X1,0b00101010,OK,5,0,5,,0.84
AND3_X1,0b00000001,3input0x13_X1,0b00101011,TIMEOUT,,,,,62.44
AND3_X1,0b00000001,3input0x14_X1,0b00101100,OK,3,0,3,,0.20
AND3_X1,0b00000001,3input0x15_X1_DH_P,0b00101101,OK,3,0,3,,0.23
AND3_X1,0b00000001,3input0x16_X1,0b00101110,OK,3,0,3,,0.34
AND3_X1,0b00000001,3input0x17_X1,0b00101111,OK,2,2,4,,0.44
AND3_X1,0b00000001,3input0x18_X1,0b00111101,OK,3,1,4,,0.76
AND3_X1,0b00000001,3input0x19_X1,0b00111110,OK,4,0,4,,0.44
AND3_X1,0b00000001,3input0x4_X1,0b01000000,OK,2,1,3,,0.30
AND3_X1,0b00000001,3input0x5_X1,0b01000001,OK,2,0,2,,0.09
AND3_X1,0b00000001,3input0x6_X1,0b01010001,OK,2,0,2,,0.14
AND3_X1,0b00000001,3input0x7_X1,0b01010100,OK,3,0,3,,0.19
AND3_X1,0b00000001,3input0x1A_X1,0b01101000,OK,4,0,4,,0.42
AND3_X1,0b00000001,3input0x1B_X1_DH_N,0b01101001,IMPOSSIBLE_AFFINE,,,,base+INV is closed under affine class L (Post's lattice); target is non-affine,0.00
AND3_X1,0b00000001,3input0x1C_X1,0b01101010,OK,4,0,4,,0.51
AND3_X1,0b00000001,3input0x1D_X1_DH_N,0b01101011,OK,5,0,5,,1.03
AND3_X1,0b00000001,3input0x1E_X1,0b01101110,OK,3,0,3,,0.31
AND3_X1,0b00000001,3input0x1F_X1_DH_N,0b01101111,OK,2,2,4,,0.60
AND3_X1,0b00000001,3input0x20_X1,0b01111110,OK,5,0,5,,0.87
AND3_X1,0b00000001,OR3_X1,0b01111111,OK,1,4,5,,1.13
AND3_X1,0b00000001,3input0x23_X1,0b10000001,OK,4,0,4,,0.37
AND3_X1,0b00000001,3input0x24_X1,0b10000010,OK,4,0,4,,0.39
AND3_X1,0b00000001,3input0x25_X1,0b10000011,OK,2,1,3,,0.27
AND3_X1,0b00000001,3input0x26_X1,0b10000110,OK,4,0,4,,0.42
AND3_X1,0b00000001,3input0x27_X1,0b10000111,OK,3,1,4,,0.78
AND3_X1,0b00000001,3input0x28_X1,0b10001001,OK,4,0,4,,0.62
AND3_X1,0b00000001,3input0x29_X1,0b10001010,OK,4,0,4,,0.64
AND3_X1,0b00000001,3input0x2A_X1,0b10001011,OK,3,0,3,,0.21
AND3_X1,0b00000001,3input0x2B_X1,0b10001110,TIMEOUT,,,,,76.75
AND3_X1,0b00000001,3input0x2C_X1,0b10001111,OK,3,2,5,,1.07
AND3_X1,0b00000001,3input0x2D_X1_DH_N,0b10010110,IMPOSSIBLE_AFFINE,,,,base+INV is closed under affine class L (Post's lattice); target is non-affine,0.00
AND3_X1,0b00000001,3input0x2E_X1,0b10010111,OK,3,3,6,,5.32
AND3_X1,0b00000001,3input0x2F_X1,0b10011000,OK,4,0,4,,0.42
AND3_X1,0b00000001,3input0x30_X1,0b10011010,OK,4,0,4,,0.57
AND3_X1,0b00000001,3input0x31_X1,0b10011011,OK,4,0,4,,0.58
AND3_X1,0b00000001,3input0x32_X1,0b10011110,OK,4,0,4,,0.74
AND3_X1,0b00000001,3input0x33_X1,0b10011111,OK,2,3,5,,1.06
AND3_X1,0b00000001,AOI21_X1,0b10101000,OK,2,1,3,,0.28
AND3_X1,0b00000001,3input0x35_X1,0b10101001,OK,2,1,3,,0.25
AND3_X1,0b00000001,3input0x36_X1,0b10101011,OK,5,0,5,,1.21
AND3_X1,0b00000001,3input0x37_X1,0b10101100,OK,2,1,3,,0.26
AND3_X1,0b00000001,3input0x38_X1,0b10101101,OK,2,1,3,,0.24
AND3_X1,0b00000001,3input0x39_X1,0b10101110,OK,4,0,4,,0.54
AND3_X1,0b00000001,3input0x3A_X1,0b10111100,OK,4,0,4,,0.77
AND3_X1,0b00000001,3input0x3B_X1,0b10111101,OK,5,0,5,,1.33
AND3_X1,0b00000001,3input0x3C_X1,0b10111110,OK,3,1,4,,0.72
AND3_X1,0b00000001,3input0x3D_X1,0b10111111,OK,1,3,4,,0.82
AND3_X1,0b00000001,3input0x3E_X1,0b11101000,TIMEOUT,,,,,49.49
AND3_X1,0b00000001,3input0x3F_X1,0b11101001,OK,4,1,5,,2.44
AND3_X1,0b00000001,OAI21_X1,0b11101010,OK,5,0,5,,0.79
AND3_X1,0b00000001,3input0x41_X1,0b11101011,OK,3,1,4,,0.59
