canonical_A,canonical_B,overlap_ratio
0b1111111111111110,0b0000000010001111,0.011429
0b1111111111111110,0b00000010,0.011429
0b1111111111111110,0b0000000000001000,0.005714
0b1111111111111110,0b00001110,0.014286
0b1111111111111110,0b0000000000001110,0.008571
0b1111111111111110,0b0000000010101000,0.008571
0b1111111111111110,0b00001000,0.008571
0b1111111111111110,0b0000000000000001,0.037143
0b1111111111111110,0b1110111011101111,0.008571
0b1111111111111110,0b1010101010101011,0.002857
0b1111111111111110,0b0010,0.005714
0b1111111111111110,0b1111111011111111,0.005714
0b1111111111111110,0b00001011,0.005714
0b1111111111111110,0b1011,0.005714
0b1111111111111110,0b0000000010001010,0.002857
0b1111111111111110,0b0000000000001011,0.002857
0b1111111111111110,0b1110111011111110,0.002857
0b1111111111111110,0b1000000011111111,0.002857
0b1111111111111110,0b10000000,0.002857
0b1111111011111111,0b11101111,0.080128
0b1111111011111111,0b1110111111111111,0.727564
0b1111111011111111,0b0000000000000010,0.073718
0b1111111011111111,0b1000000011111111,0.006410
0b1111111011111111,0b0000001011111111,0.003205
0b1111111011111111,0b10000000,0.019231
0b1111111011111111,0b10111111,0.003205
0b1111111011111111,0b1011111111111111,0.003205
0b1111111011111111,0b0111111111111111,0.003205
0b1111111011111111,0b01111111,0.009615
0b1111111011111111,0b00000010,0.041667
0b1111111011111111,0b1111111111111110,0.006410
0b1111111011111111,0b1000000010101010,0.003205
0b1111111011111111,0b1110111011101111,0.006410
0b1111111011111111,0b0000000010000000,0.003205
0b1111111011111111,0b00001000,0.003205
0b1111111011111111,0b0000000000001000,0.003205
0b1111111011111111,0b1000000000000000,0.003205
0b1111111011111111,0b1010100010101010,0.003205
0b1111111011111111,0b00000001,0.003205
0b1111111011111111,0b1000100010000000,0.003205
0b01101001,0b0000000111111110,0.022222
0b01101001,0b00000010,0.003704
0b01101001,0b1110101011000000,0.970370
0b01101001,0b1110111111111111,0.003704
0b00000001,0b1110111111111111,0.391304
0b00000001,0b11101111,0.075099
0b00000001,0b1111111111111110,0.130435
0b00000001,0b0000000000001110,0.027668
0b00000001,0b1110111011101111,0.015810
0b00000001,0b0000000000000010,0.110672
0b00000001,0b00000010,0.043478
0b00000001,0b00001110,0.011858
0b00000001,0b0000000000000001,0.015810
0b00000001,0b1010101010101011,0.003953
0b00000001,0b1010101011101010,0.003953
0b00000001,0b0010,0.003953
0b00000001,0b1111111011111111,0.003953
0b00000001,0b00101010,0.003953
0b00000001,0b1010100010101010,0.003953
0b00000001,0b0000000010101000,0.003953
0b00000001,0b0000000000001000,0.003953
0b00000001,0b00001000,0.003953
0b0010,0b1110111111111111,0.520661
0b0010,0b0000000000000010,0.086777
0b0010,0b00000010,0.078512
0b0010,0b00000001,0.004132
0b0010,0b1111111111111110,0.008264
0b0010,0b10000000,0.008264
0b0010,0b00001000,0.004132
0b0010,0b0001,0.004132
0b0010,0b1011,0.004132
0b0010,0b1110101011000000,0.012397
0b0010,0b1000100010000000,0.004132
0b0010,0b0000000010101000,0.004132
0b0010,0b0000001011111111,0.004132
0b0010,0b1000000000000000,0.004132
0b0010,0b01111111,0.004132
0b0010,0b0000000111111111,0.004132
0b0010,0b0000100011111111,0.004132
0b1011111111111111,0b1110111111111111,0.933333
0b1011111111111111,0b1111111011111111,0.004167
0b1011111111111111,0b00000010,0.004167
0b1011111111111111,0b0000000000000010,0.041667
0b1011111111111111,0b11101111,0.016667
0b0000000000001000,0b1110111111111111,0.726891
0b0000000000001000,0b11101111,0.029412
0b0000000000001000,0b0000000000000010,0.189076
0b0000000000001000,0b00000010,0.033613
0b0000000000001000,0b1111111111111110,0.008403
0b0000000000001000,0b1111111011111111,0.008403
0b0000000000001000,0b00000001,0.004202
0b00001000,0b11101111,0.013514
0b00001000,0b1110111111111111,0.328829
0b00001000,0b0000000000000010,0.396396
0b00001000,0b00000010,0.099099
0b00001000,0b1010100010101010,0.009009
0b00001000,0b1111111111111110,0.013514
0b00001000,0b10101000,0.004505
0b00001000,0b0000000010101000,0.004505
0b00001000,0b10111111,0.004505
0b00001000,0b0111111111111111,0.004505
0b00001000,0b1000000000000000,0.022523
0b00001000,0b0001,0.004505
0b00001000,0b1111111011111111,0.009009
0b00001000,0b0010,0.004505
0b00001000,0b1011,0.009009
0b00001000,0b10000000,0.009009
0b00001000,0b00000001,0.004505
0b10111111,0b1110111111111111,0.312169
0b10111111,0b11101111,0.158730
0b10111111,0b0000100011111111,0.005291
0b10111111,0b0000001011111111,0.026455
0b10111111,0b1011,0.015873
0b10111111,0b01111111,0.015873
0b10111111,0b00000010,0.105820
0b10111111,0b0000000000000010,0.243386
0b10111111,0b1111111011111111,0.010582
0b10111111,0b00001000,0.010582
0b10111111,0b0111111111111111,0.010582
0b0000000000000001,0b11101111,0.013605
0b0000000000000001,0b1110111111111111,0.455782
