canonical,master_cell,cluster_presence,avg_instances
0b10000000,INV_X1,0.022901,0.022901
0b10000000,INV_X2,0.015267,0.015267
0b1001,INV_X1,1.000000,1.000000
0b1001,XOR2_X1,1.000000,1.000000
0b0010100011111111,3input0x2C_X1,1.000000,1.000000
0b0010100011111111,XNOR2_X1,1.000000,1.000000
0b0110100110010110,XNOR2_X1,1.000000,2.000000
0b0110100110010110,XOR2_X1,1.000000,1.000000
0b10000010,NOR2_X1,1.000000,1.000000
0b10000010,XOR2_X1,1.000000,1.000000
0b10010110,XOR2_X1,1.000000,1.000000
0b10010110,XNOR2_X1,1.000000,1.000000
0b01111111,OR2_X1,0.887500,1.775000
0b01111111,NAND2_X1,0.100000,0.100000
0b01111111,NOR2_X1,0.100000,0.100000
0b01111111,INV_X1,0.112500,0.137500
0b01111111,NAND3_X2,0.012500,0.012500
0b1000101010101010,3input0x29_X1,0.133333,0.133333
0b1000101010101010,OR2_X1,0.080000,0.080000
0b1000101010101010,NOR2_X1,0.920000,0.920000
0b1000101010101010,AOI21_X2,0.133333,0.133333
0b1000101010101010,AOI21_X1,0.733333,0.733333
0b1000101010101010,INV_X1,0.053333,0.053333
0b0000000010000000,NOR2_X1,1.000000,1.597222
0b0000000010000000,AND2_X1,0.236111,0.277778
0b0000000010000000,INV_X1,0.208333,0.236111
0b0000000010000000,NAND2_X1,0.638889,0.638889
0b0000000010000000,INV_X2,0.083333,0.097222
0b0000000010000000,NAND3_X2,0.097222,0.097222
0b0000000010000000,OR2_X1,0.236111,0.236111
0b0000000010000000,NAND3_X1,0.027778,0.027778
0b0000000010000000,INV_X4,0.027778,0.027778
0b00001110,AND2_X1,0.727273,0.727273
0b00001110,NAND2_X1,0.727273,0.727273
0b00001110,INV_X1,0.257576,0.257576
0b00001110,AOI21_X1,0.212121,0.212121
0b00001110,INV_X2,0.015152,0.015152
0b00001110,AOI21_X2,0.060606,0.060606
0b0000100011111111,3input0xF_X1,0.883333,0.883333
0b0000100011111111,NOR2_X1,0.883333,0.883333
0b0000100011111111,NAND2_X1,0.116667,0.116667
0b0000100011111111,3input0x2C_X1,0.116667,0.116667
0b0000100011111111,INV_X1,0.116667,0.116667
0b1110111011101111,NAND2_X1,1.000000,1.000000
0b1110111011101111,NAND3_X1,0.620690,0.620690
0b1110111011101111,NAND3_X2,0.362069,0.362069
